sample,tumor,control
H021-ZGU3YC,/omics/odcf/analysis/hipo/hipo_021/hg38_test/results_per_pid/H021-ZGU3YC/alignment/metastasis05_H021-ZGU3YC_merged.mdup.bam,/omics/odcf/analysis/hipo/hipo_021/hg38_test/results_per_pid/H021-ZGU3YC/alignment/blood_H021-ZGU3YC_merged.mdup.bam
H021-ZGU3YC_2,/omics/odcf/analysis/hipo/hipo_021/hg38_test/results_per_pid/H021-ZGU3YC/alignment/metastasis05_H021-ZGU3YC_merged.mdup.bam,
